# Based on LCT2 measurements with 12 ns pulse width (FWHM) + 20MHz bandwidth
# Used for simulation with 3, 5 and 7 ns FWHM pulses as well assuming that
# the final front-end would perform better than the one used for tests
# Configuration : MUSIC with R=7, C=31
# Produced by C. Alispach 12/03/2020
# Parameters :
# - Gain               :  5.88149e+04
# - Sigma electronics  :  2.80682e-04 V
# - SiPM gain smearing :  1.05337e-04 V (in Volts)
# - SiPM gain smearing :  0.1790991738488036 (in units of p.e.)
# - Optical crosstalk  :  0.08 (agreed upon common value)
# The unit in abscissa is in number of photo electron
# SiPM formula from Gentile 2010, see following paper
#  - http://adsabs.harvard.edu/abs/2010arXiv1006.3263G
# Note that the Prompt and Prompt x AP columns are the same
#
# From a communication with Konrad :
#
# "If you know from your single-p.e. amplitude distribution where your
# the "1 p.e." point in your terminology (_exactly_ 1 cell fired, no
# cross talk happened) is w.r.t. to the mean, conversion between the
# "mean" amplitude unit and the "1 p.e." amplitude unit is trivial.
# If you know (and I am just making up some numbers here) that the
# "1 p.e." peak is at 0.95 (times "mean") and corresponds to an
# ADC amplitude of 35 counts then an FADC_AMPLITUDE of 35/0.95 = 36.84
# would reproduce that"
#
# The values below have been already shifted accordingly to the previous comment by the C. Alispach.
# since the mean of the distribution is at 0.99999 (close to 1 pe)
# however, the maximum is not at 1pe, and this needs to be taken into account for correction on the
# "fadc_amplitude" and "discriminator_amplitude" parameters for simtel
#
# Ampl.                  Prompt                   (Prompt x AP)
#----------------------- ------------------------ -----------------------
1.419139142457878755e+00 4.557564581885788918e-02 4.557564581885788918e-02
1.429729733073235920e+00 4.344414815270535024e-02 4.344414815270535024e-02
1.440320323688593085e+00 4.208208190091442674e-02 4.208208190091442674e-02
1.450910914303950472e+00 4.139450348138122571e-02 4.139450348138122571e-02
1.461501504919307859e+00 4.129687796627822677e-02 4.129687796627822677e-02
1.472092095534665246e+00 4.171422576848044655e-02 4.171422576848044655e-02
1.482682686150022411e+00 4.258023212202588503e-02 4.258023212202588503e-02
1.493273276765379576e+00 4.383634682563269241e-02 4.383634682563269241e-02
1.503863867380736963e+00 4.543089704335882828e-02 4.543089704335882828e-02
1.514454457996094350e+00 4.731823151262695010e-02 4.731823151262695010e-02
1.525045048611451737e+00 4.945791039569393671e-02 4.945791039569393671e-02
1.535635639226808902e+00 5.181395129303412866e-02 5.181395129303412866e-02
1.546226229842166289e+00 5.435413865462258853e-02 5.435413865462258853e-02
1.556816820457523454e+00 5.704940099227832212e-02 5.704940099227832212e-02
1.567407411072880841e+00 5.987325790793286695e-02 5.987325790793286695e-02
1.577998001688238228e+00 6.280133698849695023e-02 6.280133698849695023e-02
1.588588592303595393e+00 6.581095904634538807e-02 6.581095904634538807e-02
1.599179182918952780e+00 6.888078896637053750e-02 6.888078896637053750e-02
1.609769773534309945e+00 7.199054851301379954e-02 7.199054851301379954e-02
1.620360364149667554e+00 7.512078680928419017e-02 7.512078680928419017e-02
1.630950954765024719e+00 7.825270378095236512e-02 7.825270378095236512e-02
1.641541545380381883e+00 8.136802162185537146e-02 8.136802162185537146e-02
1.652132135995739270e+00 8.444889924320525543e-02 8.444889924320525543e-02
1.662722726611096435e+00 8.747788468805296758e-02 8.747788468805296758e-02
1.673313317226454044e+00 9.043790059345122034e-02 9.043790059345122034e-02
1.683903907841811209e+00 9.331225794404383878e-02 9.331225794404383878e-02
1.694494498457168596e+00 9.608469356306886811e-02 9.608469356306886811e-02
1.705085089072525761e+00 9.873942701561319590e-02 9.873942701561319590e-02
1.715675679687882926e+00 1.012612328437072079e-01 1.012612328437072079e-01
1.726266270303240535e+00 1.036355243059967762e-01 1.036355243059967762e-01
1.736856860918597700e+00 1.058484450514423914e-01 1.058484450514423914e-01
1.747447451533955087e+00 1.078869654139865963e-01 1.078869654139865963e-01
1.758038042149312252e+00 1.097389802721767393e-01 1.097389802721767393e-01
1.768628632764669417e+00 1.113934056741531925e-01 1.113934056741531925e-01
1.779219223380027026e+00 1.128402716846767240e-01 1.128402716846767240e-01
1.789809813995384191e+00 1.140708091677256619e-01 1.140708091677256619e-01
1.800400404610741578e+00 1.150775284763965317e-01 1.150775284763965317e-01
1.810990995226098743e+00 1.158542882819305619e-01 1.158542882819305619e-01
1.821581585841456130e+00 1.163963530358465281e-01 1.163963530358465281e-01
1.832172176456813517e+00 1.167004378231005224e-01 1.167004378231005224e-01
1.842762767072170904e+00 1.167647396291407874e-01 1.167647396291407874e-01
1.853353357687528069e+00 1.165889543083837576e-01 1.165889543083837576e-01
1.863943948302885234e+00 1.161742788042576108e-01 1.161742788042576108e-01
1.874534538918242399e+00 1.155233984293662780e-01 1.155233984293662780e-01
1.885125129533600230e+00 1.146404592660283939e-01 1.146404592660283939e-01
1.895715720148957395e+00 1.135310259897127499e-01 1.135310259897127499e-01
1.906306310764314560e+00 1.122020256478699074e-01 1.122020256478699074e-01
1.916896901379671725e+00 1.106616781414721806e-01 1.106616781414721806e-01
1.927487491995028890e+00 1.089194143534285425e-01 1.089194143534285425e-01
1.938078082610386721e+00 1.069857830443322610e-01 1.069857830443322610e-01
1.948668673225743886e+00 1.048723477893945544e-01 1.048723477893945544e-01
1.959259263841101051e+00 1.025915753589336926e-01 1.025915753589336926e-01
1.969849854456458216e+00 1.001567170468841417e-01 1.001567170468841417e-01
1.980440445071815603e+00 9.758168452635565537e-02 9.758168452635565537e-02
1.991031035687173212e+00 9.488092185774883724e-02 9.488092185774883724e-02
2.001621626302530377e+00 9.206927529325380222e-02 9.206927529325380222e-02
2.012212216917887542e+00 8.916186251219666847e-02 8.916186251219666847e-02
2.022802807533244707e+00 8.617394288565055627e-02 8.617394288565055627e-02
2.033393398148601872e+00 8.312079030745717079e-02 8.312079030745717079e-02
2.043983988763959481e+00 8.001757004425363862e-02 8.001757004425363862e-02
2.054574579379316646e+00 7.687922095158077063e-02 7.687922095158077063e-02
2.065165169994674255e+00 7.372034427932938616e-02 7.372034427932938616e-02
2.075755760610031420e+00 7.055510015060423301e-02 7.055510015060423301e-02
2.086346351225389029e+00 6.739711264666176094e-02 6.739711264666176094e-02
2.096936941840746194e+00 6.425938427019883825e-02 6.425938427019883825e-02
2.107527532456103359e+00 6.115422039319423630e-02 6.115422039319423630e-02
2.118118123071460523e+00 5.809316412706094779e-02 5.809316412706094779e-02
2.128708713686817688e+00 5.508694188518859641e-02 5.508694188518859641e-02
2.139299304302175297e+00 5.214541974409152986e-02 5.214541974409152986e-02
2.149889894917532462e+00 4.927757055210763709e-02 4.927757055210763709e-02
2.160480485532889627e+00 4.649145158644134301e-02 4.649145158644134301e-02
2.171071076148247236e+00 4.379419242252435146e-02 4.379419242252435146e-02
2.181661666763604401e+00 4.119199255603156473e-02 4.119199255603156473e-02
2.192252257378962010e+00 3.869012820893386051e-02 3.869012820893386051e-02
2.202842847994319175e+00 3.629296765781303558e-02 3.629296765781303558e-02
2.213433438609676340e+00 3.400399434601080600e-02 3.400399434601080600e-02
2.224024029225033505e+00 3.182583698141863010e-02 3.182583698141863010e-02
2.234614619840391114e+00 2.976030577879472741e-02 2.976030577879472741e-02
2.245205210455748279e+00 2.780843397909687695e-02 2.780843397909687695e-02
2.255795801071105444e+00 2.597052376777278862e-02 2.597052376777278862e-02
2.266386391686462609e+00 2.424619571833821000e-02 2.424619571833821000e-02
2.276976982301820218e+00 2.263444090572237083e-02 2.263444090572237083e-02
2.287567572917177827e+00 2.113367486442897097e-02 2.113367486442897097e-02
2.298158163532534992e+00 1.974179260803983482e-02 1.974179260803983482e-02
2.308748754147892157e+00 1.845622397737376255e-02 1.845622397737376255e-02
2.319339344763249322e+00 1.727398864304223458e-02 1.727398864304223458e-02
2.329929935378606487e+00 1.619175015252141692e-02 1.619175015252141692e-02
2.340520525993964096e+00 1.520586848052756825e-02 1.520586848052756825e-02
2.351111116609321261e+00 1.431245061281732900e-02 1.431245061281732900e-02
2.361701707224678426e+00 1.350739876600814092e-02 1.350739876600814092e-02
2.372292297840035591e+00 1.278645591820532119e-02 1.278645591820532119e-02
2.382882888455393200e+00 1.214524839583811487e-02 1.214524839583811487e-02
2.393473479070750809e+00 1.157932533000834499e-02 1.157932533000834499e-02
2.404064069686107974e+00 1.108419485985568699e-02 1.108419485985568699e-02
2.414654660301465139e+00 1.065535702012564145e-02 1.065535702012564145e-02
2.425245250916822304e+00 1.028833330464127595e-02 1.028833330464127595e-02
2.435835841532179913e+00 9.978692946240692516e-03 9.978692946240692516e-03
2.446426432147537078e+00 9.722075996628196798e-03 9.722075996628196798e-03
2.457017022762894243e+00 9.514213326323418471e-03 9.514213326323418471e-03
2.467607613378251408e+00 9.350943695448999185e-03 9.350943695448999185e-03
2.478198203993608573e+00 9.228228070566916671e-03 9.228228070566916671e-03
2.488788794608966182e+00 9.142161381363537315e-03 9.142161381363537315e-03
2.499379385224323791e+00 9.088981923995379658e-03 9.088981923995379658e-03
2.509969975839680956e+00 9.065078625722752109e-03 9.065078625722752109e-03
2.520560566455038121e+00 9.066996388520445760e-03 9.066996388520445760e-03
2.531151157070395286e+00 9.091439728154035102e-03 9.091439728154035102e-03
2.541741747685752895e+00 9.135274920267897128e-03 9.135274920267897128e-03
2.552332338301110060e+00 9.195530856884953988e-03 9.195530856884953988e-03
2.562922928916467225e+00 9.269398805909358219e-03 9.269398805909358219e-03
2.573513519531824389e+00 9.354231253284496853e-03 9.354231253284496853e-03
2.584104110147181554e+00 9.447539992904502998e-03 9.447539992904502998e-03
2.594694700762539163e+00 9.546993613694388855e-03 9.546993613694388855e-03
2.605285291377896773e+00 9.650414516915093582e-03 9.650414516915093582e-03
2.615875881993253937e+00 9.755775580128194999e-03 9.755775580128194999e-03
2.626466472608611102e+00 9.861196567740503072e-03 9.861196567740503072e-03
2.637057063223968711e+00 9.964940371964499388e-03 9.964940371964499388e-03
2.647647653839325876e+00 1.006540915265328497e-02 1.006540915265328497e-02
2.658238244454683041e+00 1.016114043002717959e-02 1.016114043002717959e-02
2.668828835070040206e+00 1.025080317098578386e-02 1.025080317098578386e-02
2.679419425685397371e+00 1.033319389763280929e-02 1.033319389763280929e-02
2.690010016300754980e+00 1.040723283592708166e-02 1.040723283592708166e-02
2.700600606916112589e+00 1.047196011306907211e-02 1.047196011306907211e-02
2.711191197531469754e+00 1.052653200436008338e-02 1.052653200436008338e-02
2.721781788146826919e+00 1.057021722382090259e-02 1.057021722382090259e-02
2.732372378762184084e+00 1.060239324779059002e-02 1.060239324779059002e-02
2.742962969377541693e+00 1.062254265698338307e-02 1.062254265698338307e-02
2.753553559992898858e+00 1.063024947998084807e-02 1.063024947998084807e-02
2.764144150608256023e+00 1.062519551978112486e-02 1.062519551978112486e-02
2.774734741223613188e+00 1.060715664470810067e-02 1.060715664470810067e-02
2.785325331838970353e+00 1.057599902558302440e-02 1.057599902558302440e-02
2.795915922454327962e+00 1.053167530245624484e-02 1.053167530245624484e-02
2.806506513069685571e+00 1.047422066626147244e-02 1.047422066626147244e-02
2.817097103685042736e+00 1.040374884336378418e-02 1.040374884336378418e-02
2.827687694300399901e+00 1.032044797400186176e-02 1.032044797400186176e-02
2.838278284915757510e+00 1.022457637895577906e-02 1.022457637895577906e-02
2.848868875531114675e+00 1.011645821229095396e-02 1.011645821229095396e-02
2.859459466146471840e+00 9.996479001631107530e-03 9.996479001631107530e-03
2.870050056761829005e+00 9.865081081001557395e-03 9.865081081001557395e-03
2.880640647377186170e+00 9.722758924770591449e-03 9.722758924770591449e-03
2.891231237992543779e+00 9.570054394524475302e-03 9.570054394524475302e-03
2.901821828607900944e+00 9.407551913772906407e-03 9.407551913772906407e-03
2.912412419223258553e+00 9.235873588140370086e-03 9.235873588140370086e-03
2.923003009838615718e+00 9.055674291108919624e-03 9.055674291108919624e-03
2.933593600453972883e+00 8.867636737403565214e-03 8.867636737403565214e-03
2.944184191069330492e+00 8.672466567728196254e-03 8.672466567728196254e-03
2.954774781684687657e+00 8.470887469750575105e-03 8.470887469750575105e-03
2.965365372300044822e+00 8.263636360994669472e-03 8.263636360994669472e-03
2.975955962915401987e+00 8.051458659628035405e-03 8.051458659628035405e-03
2.986546553530759152e+00 7.835103669041046034e-03 7.835103669041046034e-03
2.997137144146116761e+00 7.615320101620833351e-03 7.615320101620833351e-03
3.007727734761473926e+00 7.392851766247868738e-03 7.392851766247868738e-03
3.018318325376831535e+00 7.168433442815937660e-03 7.168433442815937660e-03
3.028908915992188700e+00 6.942786965529759713e-03 6.942786965529759713e-03
3.039499506607546309e+00 6.716617534903983333e-03 6.716617534903983333e-03
3.050090097222903474e+00 6.490610276313832014e-03 6.490610276313832014e-03
3.060680687838260639e+00 6.265427060669586171e-03 6.265427060669586171e-03
3.071271278453617803e+00 6.041703600349882484e-03 6.041703600349882484e-03
3.081861869068974968e+00 5.820046830971940290e-03 5.820046830971940290e-03
3.092452459684332577e+00 5.601032586944739051e-03 5.601032586944739051e-03
3.103043050299689742e+00 5.385203576084081345e-03 5.385203576084081345e-03
3.113633640915046907e+00 5.173067655906000463e-03 5.173067655906000463e-03
3.124224231530404516e+00 4.965096411595221887e-03 4.965096411595221887e-03
3.134814822145761681e+00 4.761724033102033432e-03 4.761724033102033432e-03
3.145405412761119290e+00 4.563346486387045466e-03 4.563346486387045466e-03
3.155996003376476455e+00 4.370320971536246005e-03 4.370320971536246005e-03
3.166586593991833620e+00 4.182965658333906780e-03 4.182965658333906780e-03
3.177177184607190785e+00 4.001559687929275196e-03 4.001559687929275196e-03
3.187767775222547950e+00 3.826343427481350944e-03 3.826343427481350944e-03
3.198358365837905559e+00 3.657518963128084024e-03 3.657518963128084024e-03
3.208948956453262724e+00 3.495250815311194085e-03 3.495250815311194085e-03
3.219539547068619889e+00 3.339666859400796436e-03 3.339666859400796436e-03
3.230130137683977498e+00 3.190859433707711555e-03 3.190859433707711555e-03
3.240720728299335107e+00 3.048886616343181571e-03 3.048886616343181571e-03
3.251311318914692272e+00 2.913773651982035778e-03 2.913773651982035778e-03
3.261901909530049437e+00 2.785514509397473207e-03 2.785514509397473207e-03
3.272492500145406602e+00 2.664073550654191824e-03 2.664073550654191824e-03
3.283083090760763767e+00 2.549387293058112246e-03 2.549387293058112246e-03
3.293673681376121376e+00 2.441366245351616129e-03 2.441366245351616129e-03
3.304264271991478541e+00 2.339896800196610525e-03 2.339896800196610525e-03
3.314854862606835706e+00 2.244843165686483902e-03 2.244843165686483902e-03
3.325445453222192871e+00 2.156049319454225385e-03 2.156049319454225385e-03
3.336036043837550480e+00 2.073340969878597045e-03 2.073340969878597045e-03
3.346626634452908089e+00 1.996527509914621055e-03 1.996527509914621055e-03
3.357217225068265254e+00 1.925403950169883973e-03 1.925403950169883973e-03
3.367807815683622419e+00 1.859752818995843472e-03 1.859752818995843472e-03
3.378398406298979584e+00 1.799346018545838755e-03 1.799346018545838755e-03
